a11,a12,a13,a21,a22,a23,a31,a32,a33,S
-1,0,0,-1,0,0,1,1,1,1
-1,0,0,0,-1,0,1,1,1,1
-1,0,0,0,0,-1,1,1,1,1
0,1,1,-1,1,-1,1,-1,0,1
0,1,1,-1,1,-1,1,0,-1,1
0,1,1,-1,1,-1,-1,1,0,1
0,1,1,-1,1,-1,0,1,-1,1
0,1,1,-1,1,0,1,-1,-1,1
0,1,1,-1,1,0,-1,1,-1,1
0,1,1,-1,-1,1,-1,0,1,1
0,1,1,-1,-1,1,0,-1,1,1
0,1,1,-1,0,1,-1,-1,1,1
0,1,1,0,1,-1,1,-1,-1,1
0,1,1,0,1,-1,-1,1,-1,1
0,1,1,0,-1,1,-1,-1,1,1
0,1,-1,1,1,1,-1,-1,0,1
0,1,-1,1,1,1,-1,0,-1,1
0,1,-1,1,1,1,0,-1,-1,1
0,1,-1,1,1,-1,-1,1,0,1
0,1,-1,1,1,0,-1,1,-1,1
0,1,-1,-1,1,1,-1,1,0,1
0,1,-1,-1,1,1,0,1,-1,1
0,1,-1,-1,1,-1,1,1,0,1
0,1,-1,-1,1,-1,0,1,1,1
0,1,-1,-1,1,0,1,1,-1,1
0,1,-1,-1,1,0,-1,1,1,1
0,1,-1,-1,1,0,0,1,0,1
0,1,-1,-1,-1,0,1,1,1,1
0,1,-1,-1,0,-1,1,1,1,1
0,1,-1,0,1,1,-1,1,-1,1
0,1,-1,0,1,-1,-1,1,1,1
0,1,-1,0,1,-1,0,1,0,1
0,1,-1,0,1,0,-1,1,0,1
0,1,-1,0,1,0,0,1,-1,1
0,1,-1,0,-1,-1,1,1,1,1
0,1,0,1,1,-1,-1,1,-1,1
0,1,0,-1,1,1,-1,1,-1,1
0,1,0,-1,1,-1,1,1,-1,1
0,1,0,-1,1,-1,-1,1,1,1
0,1,0,-1,1,-1,0,1,0,1
0,1,0,-1,1,0,-1,1,0,1
0,1,0,-1,1,0,0,1,-1,1
0,1,0,0,1,-1,-1,1,0,1
0,1,0,0,1,-1,0,1,-1,1
0,1,0,0,1,0,-1,1,-1,1
0,-1,1,1,1,1,-1,-1,0,1
0,-1,1,1,1,1,-1,0,-1,1
0,-1,1,1,1,1,0,-1,-1,1
0,-1,1,1,1,-1,1,-1,0,1
0,-1,1,1,1,-1,1,0,-1,1
0,-1,1,1,1,0,1,-1,-1,1
0,-1,1,1,-1,1,-1,0,1,1
0,-1,1,1,0,1,-1,-1,1,1
0,-1,1,-1,1,1,1,-1,0,1
0,-1,1,-1,1,1,1,0,-1,1
0,-1,1,-1,1,1,-1,0,1,1
0,-1,1,-1,1,1,0,-1,1,1
0,-1,1,-1,1,-1,1,1,0,1
0,-1,1,-1,1,-1,1,0,1,1
0,-1,1,-1,1,0,1,1,-1,1
0,-1,1,-1,1,0,1,-1,1,1
0,-1,1,-1,1,0,1,0,0,1
0,-1,1,-1,-1,1,1,0,1,1
0,-1,1,-1,-1,1,0,1,1,1
0,-1,1,-1,-1,0,1,1,1,1
0,-1,1,-1,0,1,1,-1,1,1
0,-1,1,-1,0,1,-1,1,1,1
0,-1,1,-1,0,1,0,0,1,1
0,-1,1,-1,0,-1,1,1,1,1
0,-1,1,0,1,1,1,-1,-1,1
0,-1,1,0,1,1,-1,-1,1,1
0,-1,1,0,1,-1,1,1,-1,1
0,-1,1,0,1,-1,1,-1,1,1
0,-1,1,0,1,-1,1,0,0,1
0,-1,1,0,1,0,1,-1,0,1
0,-1,1,0,1,0,1,0,-1,1
0,-1,1,0,-1,1,-1,1,1,1
0,-1,1,0,-1,1,0,0,1,1
0,-1,1,0,-1,-1,1,1,1,1
0,-1,1,0,0,1,-1,0,1,1
0,-1,1,0,0,1,0,-1,1,1
0,-1,-1,1,1,1,1,-1,0,1
0,-1,-1,1,1,1,1,0,-1,1
0,-1,-1,1,1,1,-1,1,0,1
0,-1,-1,1,1,1,-1,0,1,1
0,-1,-1,1,1,1,0,1,-1,1
0,-1,-1,1,1,1,0,-1,1,1
0,-1,-1,1,1,1,0,0,0,1
0,-1,-1,1,-1,0,1,1,1,1
0,-1,-1,1,0,-1,1,1,1,1
0,-1,-1,-1,1,0,1,1,1,1
0,-1,-1,-1,0,1,1,1,1,1
0,-1,-1,0,1,-1,1,1,1,1
0,-1,-1,0,-1,1,1,1,1,1
0,-1,-1,0,0,0,1,1,1,1
0,-1,0,1,1,1,1,-1,-1,1
0,-1,0,1,1,1,-1,1,-1,1
0,-1,0,1,1,1,-1,-1,1,1
0,-1,0,1,1,1,-1,0,0,1
0,-1,0,1,1,1,0,-1,0,1
0,-1,0,1,1,1,0,0,-1,1
0,-1,0,1,-1,-1,1,1,1,1
0,-1,0,-1,1,-1,1,1,1,1
0,-1,0,-1,-1,1,1,1,1,1
0,-1,0,-1,0,0,1,1,1,1
0,-1,0,0,-1,0,1,1,1,1
0,-1,0,0,0,-1,1,1,1,1
0,0,1,1,1,-1,1,-1,-1,1
0,0,1,1,-1,1,-1,-1,1,1
0,0,1,-1,1,1,1,-1,-1,1
0,0,1,-1,1,1,-1,-1,1,1
0,0,1,-1,1,-1,1,1,-1,1
0,0,1,-1,1,-1,1,-1,1,1
0,0,1,-1,1,-1,1,0,0,1
0,0,1,-1,1,0,1,-1,0,1
0,0,1,-1,1,0,1,0,-1,1
0,0,1,-1,-1,1,1,-1,1,1
0,0,1,-1,-1,1,-1,1,1,1
0,0,1,-1,-1,1,0,0,1,1
0,0,1,-1,0,1,-1,0,1,1
0,0,1,-1,0,1,0,-1,1,1
0,0,1,0,1,-1,1,-1,0,1
0,0,1,0,1,-1,1,0,-1,1
0,0,1,0,1,0,1,-1,-1,1
0,0,1,0,-1,1,-1,0,1,1
0,0,1,0,-1,1,0,-1,1,1
0,0,1,0,0,1,-1,-1,1,1
0,0,-1,1,1,1,1,-1,-1,1
0,0,-1,1,1,1,-1,1,-1,1
0,0,-1,1,1,1,-1,-1,1,1
0,0,-1,1,1,1,-1,0,0,1
0,0,-1,1,1,1,0,-1,0,1
0,0,-1,1,1,1,0,0,-1,1
0,0,-1,1,-1,-1,1,1,1,1
0,0,-1,-1,1,-1,1,1,1,1
0,0,-1,-1,-1,1,1,1,1,1
0,0,-1,-1,0,0,1,1,1,1
0,0,-1,0,-1,0,1,1,1,1
0,0,-1,0,0,-1,1,1,1,1
0,0,0,1,1,1,-1,-1,0,1
0,0,0,1,1,1,-1,0,-1,1
0,0,0,1,1,1,0,-1,-1,1
0,0,0,-1,-1,0,1,1,1,1
0,0,0,-1,0,-1,1,1,1,1
0,0,0,0,-1,-1,1,1,1,1
1,1,-1,1,1,-1,-1,0,-1,0
1,1,-1,1,1,-1,0,-1,-1,0
1,1,-1,1,1,0,-1,-1,-1,0
1,1,-1,1,-1,1,-1,-1,0,0
1,1,-1,1,-1,1,-1,0,-1,0
1,1,-1,1,-1,-1,-1,1,0,0
1,1,-1,1,-1,-1,-1,0,1,0
1,1,-1,1,-1,-1,0,1,-1,0
1,1,-1,1,-1,0,-1,1,-1,0
1,1,-1,1,-1,0,-1,-1,1,0
1,1,-1,1,-1,0,-1,0,0,0
1,1,-1,1,0,1,-1,-1,-1,0
1,1,-1,1,0,-1,-1,1,-1,0
1,1,-1,1,0,-1,0,0,-1,0
1,1,-1,-1,1,-1,1,0,-1,0
1,1,-1,-1,-1,1,-1,1,0,0
1,1,-1,-1,-1,1,-1,0,1,0
1,1,-1,-1,-1,-1,1,1,0,0
1,1,-1,-1,-1,-1,1,0,1,0
1,1,-1,-1,-1,-1,0,1,1,0
1,1,-1,-1,-1,0,-1,1,1,0
1,1,-1,-1,0,-1,1,1,-1,0
1,1,-1,0,1,1,-1,-1,-1,0
1,1,-1,0,1,-1,1,-1,-1,0
1,1,-1,0,1,-1,0,0,-1,0
1,1,-1,0,-1,1,-1,1,-1,0
1,1,-1,0,-1,1,-1,-1,1,0
1,1,-1,0,-1,1,-1,0,0,0
1,1,-1,0,-1,-1,1,1,-1,0
1,1,-1,0,-1,-1,-1,1,1,0
1,1,-1,0,-1,0,-1,1,0,0
1,1,-1,0,-1,0,-1,0,1,0
1,1,-1,0,0,-1,1,0,-1,0
1,1,-1,0,0,-1,0,1,-1,0
1,1,0,1,1,-1,-1,-1,-1,0
1,1,0,1,-1,1,-1,-1,-1,0
1,1,0,1,0,0,-1,-1,-1,0
1,1,0,-1,1,1,-1,-1,-1,0
1,1,0,-1,-1,-1,1,1,-1,0
1,1,0,-1,-1,-1,1,-1,1,0
1,1,0,-1,-1,-1,1,0,0,0
1,1,0,-1,-1,-1,-1,1,1,0
1,1,0,-1,-1,-1,0,1,0,0
1,1,0,-1,-1,-1,0,0,1,0
1,1,0,0,1,0,-1,-1,-1,0
1,1,0,0,0,1,-1,-1,-1,0
1,-1,1,1,1,0,-1,-1,-1,0
1,-1,1,1,-1,1,-1,-1,0,0
1,-1,1,1,-1,1,0,-1,-1,0
1,-1,1,1,-1,-1,0,-1,1,0
1,-1,1,1,-1,0,-1,-1,1,0
1,-1,1,1,-1,0,0,-1,0,0
1,-1,1,1,0,1,-1,-1,-1,0
1,-1,1,-1,-1,1,1,-1,0,0
1,-1,1,-1,-1,-1,1,1,0,0
1,-1,1,-1,-1,-1,1,0,1,0
1,-1,1,-1,-1,-1,0,1,1,0
1,-1,1,-1,-1,0,1,-1,1,0
1,-1,1,0,1,1,-1,-1,-1,0
1,-1,1,0,-1,1,1,-1,-1,0
1,-1,1,0,-1,1,0,-1,0,0
1,-1,1,0,-1,-1,1,-1,1,0
1,-1,1,0,-1,0,1,-1,0,0
1,-1,1,0,-1,0,0,-1,1,0
1,-1,-1,1,1,-1,0,1,-1,0
1,-1,-1,1,-1,1,-1,1,0,0
1,-1,-1,1,-1,1,-1,0,1,0
1,-1,-1,1,-1,1,0,-1,1,0
1,-1,-1,1,-1,0,-1,1,1,0
1,-1,-1,0,1,-1,1,1,-1,0
1,-1,-1,0,-1,1,1,-1,1,0
1,-1,-1,0,-1,1,-1,1,1,0
1,-1,0,1,-1,1,-1,-1,1,0
1,-1,0,1,-1,1,0,-1,0,0
1,-1,0,1,-1,0,0,-1,1,0
1,-1,0,-1,-1,1,1,-1,1,0
1,-1,0,0,-1,1,1,-1,0,0
1,-1,0,0,-1,1,0,-1,1,0
1,-1,0,0,-1,0,1,-1,1,0
1,0,1,1,1,-1,-1,-1,-1,0
1,0,1,1,-1,1,-1,-1,-1,0
1,0,1,1,0,0,-1,-1,-1,0
1,0,1,-1,1,1,-1,-1,-1,0
1,0,1,-1,-1,-1,1,1,-1,0
1,0,1,-1,-1,-1,1,-1,1,0
1,0,1,-1,-1,-1,1,0,0,0
1,0,1,-1,-1,-1,-1,1,1,0
1,0,1,-1,-1,-1,0,1,0,0
1,0,1,-1,-1,-1,0,0,1,0
1,0,1,0,1,0,-1,-1,-1,0
1,0,1,0,0,1,-1,-1,-1,0
1,0,-1,1,1,-1,-1,1,-1,0
1,0,-1,1,1,-1,0,0,-1,0
1,0,-1,1,-1,1,-1,1,-1,0
1,0,-1,1,-1,1,-1,-1,1,0
1,0,-1,1,-1,1,-1,0,0,0
1,0,-1,1,-1,-1,-1,1,1,0
1,0,-1,1,-1,0,-1,1,0,0
1,0,-1,1,-1,0,-1,0,1,0
1,0,-1,1,0,-1,0,1,-1,0
1,0,-1,-1,1,-1,1,1,-1,0
1,0,-1,-1,-1,1,-1,1,1,0
1,0,-1,0,1,-1,1,0,-1,0
1,0,-1,0,1,-1,0,1,-1,0
1,0,-1,0,-1,1,-1,1,0,0
1,0,-1,0,-1,1,-1,0,1,0
1,0,-1,0,-1,0,-1,1,1,0
1,0,-1,0,0,-1,1,1,-1,0
1,0,0,1,1,0,-1,-1,-1,0
1,0,0,1,0,1,-1,-1,-1,0
1,0,0,-1,-1,-1,1,1,0,0
1,0,0,-1,-1,-1,1,0,1,0
1,0,0,-1,-1,-1,0,1,1,0
1,0,0,0,1,1,-1,-1,-1,0
-1,1,1,1,1,0,-1,-1,-1,0
-1,1,1,1,-1,1,-1,0,-1,0
-1,1,1,1,-1,1,0,-1,-1,0
-1,1,1,1,-1,-1,1,0,-1,0
-1,1,1,1,-1,-1,0,1,-1,0
-1,1,1,1,-1,0,1,-1,-1,0
-1,1,1,1,-1,0,-1,1,-1,0
-1,1,1,1,-1,0,0,0,-1,0
-1,1,1,1,0,1,-1,-1,-1,0
-1,1,1,-1,1,1,-1,-1,0,0
-1,1,1,-1,1,1,-1,0,-1,0
-1,1,1,-1,1,-1,-1,0,1,0
-1,1,1,-1,1,0,-1,-1,1,0
-1,1,1,-1,1,0,-1,0,0,0
-1,1,1,-1,-1,1,1,0,-1,0
-1,1,1,-1,-1,1,-1,1,0,0
-1,1,1,-1,-1,1,0,1,-1,0
-1,1,1,-1,-1,-1,1,1,0,0
-1,1,1,-1,-1,-1,1,0,1,0
-1,1,1,-1,-1,-1,0,1,1,0
-1,1,1,-1,-1,0,1,1,-1,0
-1,1,1,-1,-1,0,-1,1,1,0
-1,1,1,-1,0,1,-1,1,-1,0
-1,1,1,-1,0,1,-1,0,0,0
-1,1,1,-1,0,-1,-1,1,1,0
-1,1,1,-1,0,0,-1,1,0,0
-1,1,1,-1,0,0,-1,0,1,0
-1,1,1,0,1,1,-1,-1,-1,0
-1,1,1,0,-1,1,1,-1,-1,0
-1,1,1,0,-1,1,-1,1,-1,0
-1,1,1,0,-1,1,0,0,-1,0
-1,1,1,0,-1,-1,1,1,-1,0
-1,1,1,0,-1,0,1,0,-1,0
-1,1,1,0,-1,0,0,1,-1,0
-1,1,-1,1,1,-1,1,0,-1,0
-1,1,-1,1,-1,1,1,0,-1,0
-1,1,-1,1,-1,1,-1,1,0,0
-1,1,-1,1,-1,1,-1,0,1,0
-1,1,-1,1,-1,1,0,1,-1,0
-1,1,-1,1,-1,0,1,1,-1,0
-1,1,-1,1,-1,0,-1,1,1,0
-1,1,-1,1,0,-1,1,1,-1,0
-1,1,-1,-1,1,1,-1,0,1,0
-1,1,-1,-1,0,1,-1,1,1,0
-1,1,-1,0,-1,1,1,1,-1,0
-1,1,-1,0,-1,1,-1,1,1,0
-1,1,0,1,-1,1,1,-1,-1,0
-1,1,0,1,-1,1,-1,1,-1,0
-1,1,0,1,-1,1,0,0,-1,0
-1,1,0,1,-1,-1,1,1,-1,0
-1,1,0,1,-1,0,1,0,-1,0
-1,1,0,1,-1,0,0,1,-1,0
-1,1,0,-1,1,1,-1,-1,1,0
-1,1,0,-1,1,1,-1,0,0,0
-1,1,0,-1,1,0,-1,0,1,0
-1,1,0,-1,-1,1,1,1,-1,0
-1,1,0,-1,-1,1,-1,1,1,0
-1,1,0,-1,0,1,-1,1,0,0
-1,1,0,-1,0,1,-1,0,1,0
-1,1,0,-1,0,0,-1,1,1,0
-1,1,0,0,-1,1,1,0,-1,0
-1,1,0,0,-1,1,0,1,-1,0
-1,1,0,0,-1,0,1,1,-1,0
-1,-1,1,1,-1,1,1,-1,0,0
-1,-1,1,1,-1,1,1,0,-1,0
-1,-1,1,1,-1,1,0,1,-1,0
-1,-1,1,1,-1,0,1,1,-1,0
-1,-1,1,1,-1,0,1,-1,1,0
-1,-1,1,-1,1,1,-1,1,0,0
-1,-1,1,-1,1,0,-1,1,1,0
-1,-1,1,0,-1,1,1,1,-1,0
-1,-1,-1,1,1,-1,1,1,0,0
-1,-1,-1,1,1,-1,1,0,1,0
-1,-1,-1,1,1,-1,0,1,1,0
-1,-1,-1,1,1,0,1,1,-1,0
-1,-1,-1,1,1,0,1,-1,1,0
-1,-1,-1,1,1,0,1,0,0,0
-1,-1,-1,1,1,0,-1,1,1,0
-1,-1,-1,1,1,0,0,1,0,0
-1,-1,-1,1,1,0,0,0,1,0
-1,-1,-1,1,-1,1,1,1,0,0
-1,-1,-1,1,-1,1,1,0,1,0
-1,-1,-1,1,-1,1,0,1,1,0
-1,-1,-1,1,0,1,1,1,-1,0
-1,-1,-1,1,0,1,1,-1,1,0
-1,-1,-1,1,0,1,1,0,0,0
-1,-1,-1,1,0,1,-1,1,1,0
-1,-1,-1,1,0,1,0,1,0,0
-1,-1,-1,1,0,1,0,0,1,0
-1,-1,-1,1,0,0,1,1,0,0
-1,-1,-1,1,0,0,1,0,1,0
-1,-1,-1,1,0,0,0,1,1,0
-1,-1,-1,-1,1,1,1,1,0,0
-1,-1,-1,-1,1,1,1,0,1,0
-1,-1,-1,-1,1,1,0,1,1,0
-1,-1,-1,0,1,1,1,1,-1,0
-1,-1,-1,0,1,1,1,-1,1,0
-1,-1,-1,0,1,1,1,0,0,0
-1,-1,-1,0,1,1,-1,1,1,0
-1,-1,-1,0,1,1,0,1,0,0
-1,-1,-1,0,1,1,0,0,1,0
-1,-1,-1,0,1,0,1,1,0,0
-1,-1,-1,0,1,0,1,0,1,0
-1,-1,-1,0,1,0,0,1,1,0
-1,-1,-1,0,0,1,1,1,0,0
-1,-1,-1,0,0,1,1,0,1,0
-1,-1,-1,0,0,1,0,1,1,0
-1,-1,0,1,-1,1,1,1,-1,0
-1,-1,0,1,-1,1,1,-1,1,0
-1,-1,0,-1,1,1,-1,1,1,0
-1,0,1,1,-1,1,1,-1,-1,0
-1,0,1,1,-1,1,-1,1,-1,0
-1,0,1,1,-1,1,0,0,-1,0
-1,0,1,1,-1,-1,1,1,-1,0
-1,0,1,1,-1,0,1,0,-1,0
-1,0,1,1,-1,0,0,1,-1,0
-1,0,1,-1,1,1,-1,1,-1,0
-1,0,1,-1,1,1,-1,0,0,0
-1,0,1,-1,1,-1,-1,1,1,0
-1,0,1,-1,1,0,-1,1,0,0
-1,0,1,-1,1,0,-1,0,1,0
-1,0,1,-1,-1,1,1,1,-1,0
-1,0,1,-1,0,1,-1,1,0,0
-1,0,1,-1,0,0,-1,1,1,0
-1,0,1,0,-1,1,1,0,-1,0
-1,0,1,0,-1,1,0,1,-1,0
-1,0,1,0,-1,0,1,1,-1,0
-1,0,-1,1,1,-1,1,1,-1,0
-1,0,-1,1,-1,1,1,1,-1,0
-1,0,-1,1,-1,1,-1,1,1,0
-1,0,-1,-1,1,1,-1,1,1,0
-1,0,0,1,-1,1,1,0,-1,0
-1,0,0,1,-1,1,0,1,-1,0
-1,0,0,1,-1,0,1,1,-1,0
-1,0,0,-1,1,1,-1,1,0,0
-1,0,0,-1,1,1,-1,0,1,0
-1,0,0,-1,1,0,-1,1,1,0
-1,0,0,-1,0,1,-1,1,1,0
-1,0,0,0,-1,1,1,1,-1,0
0,1,1,1,1,-1,-1,-1,-1,0
0,1,1,1,-1,1,-1,-1,-1,0
0,1,1,1,0,0,-1,-1,-1,0
0,1,1,-1,1,1,-1,-1,-1,0
0,1,1,-1,-1,-1,1,1,-1,0
0,1,1,-1,-1,-1,1,-1,1,0
0,1,1,-1,-1,-1,1,0,0,0
0,1,1,-1,-1,-1,-1,1,1,0
0,1,1,-1,-1,-1,0,1,0,0
0,1,1,-1,-1,-1,0,0,1,0
0,1,1,0,1,0,-1,-1,-1,0
0,1,1,0,0,1,-1,-1,-1,0
0,1,-1,1,1,-1,1,-1,-1,0
0,1,-1,1,1,-1,0,0,-1,0
0,1,-1,1,-1,1,-1,1,-1,0
0,1,-1,1,-1,1,-1,-1,1,0
0,1,-1,1,-1,1,-1,0,0,0
0,1,-1,1,-1,-1,1,1,-1,0
0,1,-1,1,-1,-1,-1,1,1,0
0,1,-1,1,-1,0,-1,1,0,0
0,1,-1,1,-1,0,-1,0,1,0
0,1,-1,1,0,-1,1,0,-1,0
0,1,-1,1,0,-1,0,1,-1,0
0,1,-1,-1,-1,1,-1,1,1,0
0,1,-1,0,1,-1,1,0,-1,0
0,1,-1,0,-1,1,-1,1,0,0
0,1,-1,0,-1,1,-1,0,1,0
0,1,-1,0,-1,0,-1,1,1,0
0,1,-1,0,0,-1,1,1,-1,0
0,1,0,1,1,0,-1,-1,-1,0
0,1,0,1,0,1,-1,-1,-1,0
0,1,0,-1,-1,-1,1,1,0,0
0,1,0,-1,-1,-1,1,0,1,0
0,1,0,-1,-1,-1,0,1,1,0
0,1,0,0,1,1,-1,-1,-1,0
0,-1,1,1,-1,1,1,-1,-1,0
0,-1,1,1,-1,1,0,-1,0,0
0,-1,1,1,-1,-1,1,-1,1,0
0,-1,1,1,-1,0,1,-1,0,0
0,-1,1,1,-1,0,0,-1,1,0
0,-1,1,0,-1,1,1,-1,0,0
0,-1,1,0,-1,0,1,-1,1,0
0,-1,-1,1,1,-1,1,1,-1,0
0,-1,-1,1,-1,1,1,-1,1,0
0,-1,-1,1,-1,1,-1,1,1,0
0,-1,0,1,-1,1,1,-1,0,0
0,-1,0,1,-1,1,0,-1,1,0
0,-1,0,1,-1,0,1,-1,1,0
0,-1,0,0,-1,1,1,-1,1,0
0,0,1,1,1,0,-1,-1,-1,0
0,0,1,1,0,1,-1,-1,-1,0
0,0,1,-1,-1,-1,1,1,0,0
0,0,1,-1,-1,-1,1,0,1,0
0,0,1,-1,-1,-1,0,1,1,0
0,0,1,0,1,1,-1,-1,-1,0
0,0,-1,1,1,-1,1,0,-1,0
0,0,-1,1,1,-1,0,1,-1,0
0,0,-1,1,-1,1,-1,1,0,0
0,0,-1,1,-1,1,-1,0,1,0
0,0,-1,1,-1,0,-1,1,1,0
0,0,-1,1,0,-1,1,1,-1,0
0,0,-1,0,1,-1,1,1,-1,0
0,0,-1,0,-1,1,-1,1,1,0
1,1,-1,-1,1,1,1,-1,-1,0
1,1,-1,-1,-1,1,1,1,-1,0
1,1,-1,-1,-1,1,1,-1,1,0
1,-1,1,1,1,-1,-1,1,-1,0
1,-1,1,1,-1,1,-1,1,-1,0
1,-1,1,1,-1,-1,-1,1,1,0
1,-1,1,-1,1,1,-1,1,-1,0
1,-1,1,-1,-1,1,1,1,-1,0
1,-1,-1,-1,1,1,1,1,-1,0
-1,1,1,1,1,-1,-1,-1,1,0
-1,1,1,1,-1,-1,1,-1,1,0
-1,1,1,1,-1,-1,-1,1,1,0
-1,1,-1,1,1,-1,1,-1,1,0
-1,1,-1,1,-1,1,1,-1,1,0
-1,1,-1,-1,1,1,1,-1,1,0
-1,-1,1,1,1,-1,-1,1,1,0
